estu_consecutivo.1;estu_exterior;periodo;estu_tieneetnia;estu_tomo_cursopreparacion;estu_cursodocentesies;estu_cursoiesapoyoexterno;estu_cursoiesexterna;estu_simulacrotipoicfes;estu_actividadrefuerzoareas;estu_actividadrefuerzogeneric;fami_trabajolaborpadre;fami_trabajolabormadre;fami_numlibros;estu_inst_cod_departamento;estu_tipodocumento.1;estu_nacionalidad.1;estu_genero.1;estu_fechanacimiento.1;periodo.1;estu_estudiante.1;estu_pais_reside.1;estu_depto_reside.1;estu_cod_reside_depto.1;estu_mcpio_reside.1;estu_cod_reside_mcpio.1;estu_areareside;estu_valorpensioncolegio;fami_educacionpadre.1;fami_educacionmadre.1;fami_ocupacionpadre.1;fami_ocupacionmadre.1;fami_estratovivienda.1;fami_nivelsisben;fami_pisoshogar;fami_tieneinternet.1;fami_tienecomputador.1;fami_tienemicroondas;fami_tienehorno;fami_tieneautomovil.1;fami_tienedvd;fami_tiene_nevera.1;fami_tiene_celular.1;fami_telefono.1;fami_ingresofmiliarmensual;estu_trabajaactualmente;estu_antecedentes;estu_expectativas;cole_codigo_icfes;cole_cod_dane_establecimiento;cole_nombre_establecimiento;cole_genero;cole_naturaleza;cole_calendario;cole_bilingue;cole_caracter;cole_cod_dane_sede;cole_nombre_sede;cole_sede_principal;cole_area_ubicacion;cole_jornada;cole_cod_mcpio_ubicacion;cole_mcpio_ubicacion;cole_cod_depto_ubicacion;cole_depto_ubicacion;punt_lenguaje;punt_matematicas;punt_biologia;punt_quimica;punt_fisica;punt_ciencias_sociales;punt_filosofia;punt_ingles;desemp_ingles;profundiza;puntaje_prof;desemp_prof;exito
SB11201320309229;NO;20183;No;;;;;;;;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;11 A 25 LIBROS;15;TI;COLOMBIA;M;5/11/1996;20132;ESTUDIANTE;COLOMBIA;BOYACA;15;TUNJA;15001;Cabecera Municipal;Entre 87.000 y menos de 120.000;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 3;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;No;No;No;Si;Si;Si;No;Entre 3 y menos de 5 SMLV;Si, menos de 20 horas a la semana;No;No;144683;3.15001E+11;IE RAFAEL BERNAL JIMENEZ;MIXTO;NO OFICIAL;A;;ACADÉMICO;3.15001E+11;IE RAFAEL BERNAL JIMENEZ;S;URBANO;COMPLETA;15001;TUNJA;15;BOYACA;50;55;48;53;50;48;48;50;A1;PUNT_PROFUNDIZA_LENGUAJE;6;II;0
SB11201220583307;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;CC;COLOMBIA;F;15/4/1993;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;EL CARMEN DE VIBORAL;5148;Cabecera Municipal;No paga Pensión;No sabe;Primaria incompleta;Otra actividad u ocupación;Hogar;Estrato 2;Nivel 2;Cemento, gravilla, ladrillo;No;Si;No;No;No;Si;Si;No;Si;Entre 1 y menos de 2 SMLV;No;No;;;1.05148E+11;I.E. EL PROGRESO;MIXTO;OFICIAL;A;N;ACADÉMICO;1.05148E+11;I.E. EL PROGRESO;S;URBANO;MAÑANA;5148;EL CARMEN DE VIBORAL;5;ANTIOQUIA;40;35;46;46;35;38;27;39;A-;PUNT_PROFUNDIZA_LENGUAJE;4;GB;0
SB11201220104133;NO;20173;No;;Menos de 20 horas;Menos de 20 horas;Menos de 20 horas;Si;No;No;;;11 A 25 LIBROS;5;TI;COLOMBIA;F;16/5/1995;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;MEDELLÍN;5001;Cabecera Municipal;Entre 150.000 y menos de 250.000;Educación profesional completa;Educación profesional completa;Empleado de nivel técnico o profesional;Hogar;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;No;No;No;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;;257;3.05001E+11;INST FERRINI - SEDE ROBLEDO;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.05001E+11;INST FERRINI - SEDE ROBLEDO;S;URBANO;TARDE;5001;MEDELLÍN;5;ANTIOQUIA;57;58;48;47;44;42;42;48;A1;PUNT_PROFUNDIZA_CSOCIALES;5;GB;0
SB11201220188382;NO;20183;No;;;;;;;;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);26 A 100 LIBROS;54;TI;COLOMBIA;M;25/12/1994;20122;ESTUDIANTE;COLOMBIA;NORTE SANTANDER;54;LOS PATIOS;54405;Cabecera Municipal;No paga Pensión;Postgrado;Postgrado;Empleado de nivel técnico o profesional;Empleado de nivel técnico o profesional;Estrato 2;No está clasificada por el SISBEN;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;;12161;1.54001E+11;COL SAGRADO CORAZON DE JESUS;MASCULINO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.54001E+11;COL SAGRADO CORAZON DE JESUS;S;URBANO;MAÑANA;54001;CÚCUTA;54;NORTE SANTANDER;50;61;62;54;48;56;50;70;B1;PUNT_INTERDISC_MEDIOAMBIENTE;52;;0
SB11201320109216;NO;20183;No;;;;;;;;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;0 A 10 LIBROS;5;TI;COLOMBIA;F;23/6/1997;20132;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;ITAGÜÍ;5360;Cabecera Municipal;No paga Pensión;Primaria completa;Técnica o tecnológica completa;Empleado obrero u operario;Hogar;Estrato 3;Nivel 2;Cemento, gravilla, ladrillo;No;No;No;Si;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;Si;No;2055;1.0536E+11;INSTITUCION EDUCATIVA CONCEJO MUNICIPAL DE ITAGUI;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.0536E+11;INSTITUCION EDUCATIVA CONCEJO MUNICIPAL;S;URBANO;TARDE;5360;ITAGÜÍ;5;ANTIOQUIA;50;65;49;50;66;45;39;46;A1;PUNT_PROFUNDIZA_LENGUAJE;5;GB;1
SB11201220403967;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;M;25/4/1996;20122;ESTUDIANTE;COLOMBIA;BOYACA;15;PUERTO BOYACÁ;15572;Cabecera Municipal;No paga Pensión;Primaria incompleta;Primaria incompleta;Empleado obrero u operario;Hogar;Estrato 2;Nivel 2;Cemento, gravilla, ladrillo;No;No;No;No;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;;24794;1.15572E+11;IE SAN PEDRO CLAVER;MIXTO;OFICIAL;A;N;ACADÉMICO;1.15572E+11;IE SAN PEDRO CLAVER- SEDE PRINCIPAL;S;URBANO;MAÑANA;15572;PUERTO BOYACÁ;15;BOYACA;38;43;39;44;38;40;23;42;A-;PUNT_INTERDISC_MEDIOAMBIENTE;51;;0
SB11201220326063;NO;20173;Si;;;;;;;;;;11 A 25 LIBROS;11;CC;COLOMBIA;F;9/8/1993;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) incompleta;Educación profesional incompleta;Empleado de nivel directivo;Empleado de nivel auxiliar o administrativo;Estrato 3;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 3 y menos de 5 SMLV;No;No;;;1.11001E+11;COLEGIO INEM FRANCISCO DE PAULA SANTANDER (IED);MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.11001E+11;INEM FRANCISCO DE PAULA SANTANDER;S;URBANO;MAÑANA;11001;BOGOTÁ D.C.;11;BOGOTA;32;30;35;42;37;44;30;42;A-;PUNT_INTERDISC_MEDIOAMBIENTE;51;;0
SB11201320497211;NO;20183;No;;;;;;;;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);No aplica;26 A 100 LIBROS;11;TI;COLOMBIA;F;8/4/1996;20132;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;;250.000 o más;Educación profesional completa;Postgrado;Empleado de nivel técnico o profesional;Empleado de nivel técnico o profesional;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;Si;Si;Si;Si;Si;10 o más SMLV;No;No;No;72934;3.11001E+11;COLEGIO COLSUBSIDIO CIUDADELA;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.11001E+11;COLEGIO COLSUBSIDIO CIUDADELA - SEDE PRINCIPAL;S;URBANO;COMPLETA;11001;BOGOTÁ, D.C.;11;BOGOTA;76;71;64;61;70;78;75;80;B1;PUNT_PROFUNDIZA_MATEMATICA;6;II;1
SB11201320058162;NO;20173;No;;;;;;;;;;11 A 25 LIBROS;68;CR;COLOMBIA;F;4/4/1995;20132;ESTUDIANTE;COLOMBIA;SANTANDER;68;FLORIDABLANCA;68276;Cabecera Municipal;250.000 o más;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Pensionado;Hogar;Estrato 3;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 7 y menos de 10 SMLV;No;No;Si;14688;3.68276E+11;COL AGUSTINIANO;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.68276E+11;COL AGUSTINIANO;S;URBANO;MAÑANA;68276;FLORIDABLANCA;68;SANTANDER;47;50;31;37;47;38;33;43;A-;PUNT_INTERDISC_VIOLENCIAYSOC;39;;0
SB11201220205124;;20143;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;CC;COLOMBIA;M;21/2/1994;20122;ESTUDIANTE;COLOMBIA;;;;;Cabecera Municipal;No paga Pensión;Primaria completa;Primaria incompleta;Trabajador por cuenta propia;Trabajador por cuenta propia;;Nivel 1;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;Si;Si;No;Menos de 1 SMLV;No;No;;;1.6319E+11;LIBRE;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.6319E+11;LIBRE;S;URBANO;MAÑANA;63190;CIRCASIA;63;QUINDIO;44;56;48;43;51;50;19;36;A-;PUNT_PROFUNDIZA_BIOLOGIA;5;GB;1
SB11201320002965;NO;20183;No;;;;;;;;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Trabaja por cuenta propia (por ejemplo plomero, electricista);11 A 25 LIBROS;11;TI;COLOMBIA;M;3/10/1996;20132;ESTUDIANTE;COLOMBIA;META;50;VILLAVICENCIO;50001;Cabecera Municipal;No paga Pensión;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Empleado obrero u operario;Trabajador por cuenta propia;Estrato 3;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;No;No;Si;Si;Si;Si;Menos de 1 SMLV;No;No;No;10942;1.50001E+11;INSTITUCION EDUCATIVA INSTITUTO FRANCISCO JOSE DE CALDAS;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.50001E+11;INSTITUCION EDUCATIVA INSTITUTO NACIONAL FRANCISCO JOSE DE CALDAS;S;URBANO;MAÑANA;50001;VILLAVICENCIO;50;META;68;52;62;56;50;69;62;77;B1;PUNT_INTERDISC_MEDIOAMBIENTE;59;;1
SB11201310024315;NO;20183;No;;;;;;;;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;26 A 100 LIBROS;11;TI;COLOMBIA;M;9/12/1995;20131;ESTUDIANTE;COLOMBIA;CESAR;20;VALLEDUPAR;20001;Cabecera Municipal;250.000 o más;Postgrado;Educación profesional completa;Empleado con cargo como director o gerente general;Empresario;Estrato 5;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;10 o más SMLV;No;No;No;39172;3.20001E+11;COL. FUND.   BILING . DE VALLEDUPAR;MIXTO;NO OFICIAL;B;S;ACADÉMICO;3.20001E+11;COL. FUND.   BILING . DE VALLEDUPAR;S;URBANO;COMPLETA;20001;VALLEDUPAR;20;CESAR;70;66;55;64;62;50;67;83;B+;PUNT_PROFUNDIZA_CSOCIALES;6;II;1
SB11201220376141;;20152;;;;;;;;;;;;11;TI;COLOMBIA;F;25/1/1996;20122;ESTUDIANTE;COLOMBIA;BOLIVAR;13;CARTAGENA DE INDIAS;13001;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;No;No;Si;No;No;Si;Si;No;Menos de 1 SMLV;No;No;;128694;3.13001E+11;COL. COMUNITARIO EL REDENTOR;MIXTO;NO OFICIAL;A;;ACADÉMICO;3.13001E+11;COL. COMUNITARIO EL REDENTOR;S;URBANO;MAÑANA;13001;CARTAGENA DE INDIAS;13;BOLIVAR;52;45;54;52;54;56;45;40;A-;PUNT_INTERDISC_VIOLENCIAYSOC;48;;1
SB11201220487952;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;F;15/7/1996;20122;ESTUDIANTE;COLOMBIA;NORTE SANTANDER;54;CÚCUTA;54001;Cabecera Municipal;No paga Pensión;Primaria completa;Primaria incompleta;Pequeño empresario;Otra actividad u ocupación;Estrato 2;Nivel 1;Tierra, arena;No;No;No;No;No;No;No;Si;Si;Menos de 1 SMLV;No;No;;125385;1.54001E+11;COL JAIME GARZON;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.54001E+11;COL JAIME GARZON;S;URBANO;MAÑANA;54001;CÚCUTA;54;NORTE SANTANDER;29;30;43;42;51;48;30;32;A-;PUNT_PROFUNDIZA_CSOCIALES;5;I;0
SB11201320344935;NO;20173;No;;;;;;;;;;11 A 25 LIBROS;11;TI;COLOMBIA;M;27/8/1997;20132;ESTUDIANTE;COLOMBIA;META;50;SAN MARTÍN;50689;;No paga Pensión;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Empleado obrero u operario;Empleado obrero u operario;Estrato 2;Nivel 2;Cemento, gravilla, ladrillo;No;Si;No;No;Si;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;Si;141523;2.50689E+11;IE IRACA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;2.50689E+11;SEDE PRINCIPAL - IRACA;S;RURAL;COMPLETA;50689;SAN MARTÍN;50;META;48;46;39;52;47;46;40;45;A1;PUNT_PROFUNDIZA_MATEMATICA;5;I;1
SB11201220070032;;20143;;Si;No tomó Curso;Más de 30 horas;No tomó curso;No;Si;No;;;;11;TI;COLOMBIA;F;27/6/1996;20122;ESTUDIANTE;COLOMBIA;;;;;Cabecera Municipal;No paga Pensión;Primaria completa;Secundaria (Bachillerato) completa;Empleado obrero u operario;Empleado de nivel auxiliar o administrativo;;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;No;No;No;Si;Si;No;Menos de 1 SMLV;No;No;;;3.41396E+11;IE MARILLAC;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;3.41396E+11;MARILLAC;S;URBANO;COMPLETA;41396;LA PLATA;41;HUILA;52;61;48;53;59;50;45;56;A2;PUNT_PROFUNDIZA_MATEMATICA;5;I;1
SB11201220090814;NO;20183;No;;;;;;;;;;11 A 25 LIBROS;8;TI;COLOMBIA;M;2/1/1996;20122;ESTUDIANTE;COLOMBIA;MAGDALENA;47;PIVIJAY;47551;Cabecera Municipal;No paga Pensión;Educación profesional completa;Secundaria (Bachillerato) completa;Profesional independiente;Trabajador por cuenta propia;Estrato 2;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;;10801;1.47551E+11;INSTITUCION EDUCATIVA DEPARTAMENTAL LICEO PIVIJAY;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.47551E+11;INST EDUC DPTAL LICEO PIVIJAY;S;URBANO;MAÑANA;47551;PIVIJAY;47;MAGDALENA;61;64;62;47;55;62;53;48;A1;PUNT_PROFUNDIZA_LENGUAJE;6;II;0
